Month, Day, Year
05,13,	2001
05,12,	2002
05,11,	2003
05, 9,	2004
05, 8,	2005
05,14,	2006
05, 13,	2007
05,11,	2008
05, 10,	2009
05,9,	2010
05, 8,	2011
05, 13,	2012
05, 12,	2013
05, 11,	2014
05, 10,	2015
05, 8,	2016
05, 14,	2017
