Month,Day,Year
05,     18,	2000
05,	17,	2001
05,	16,	2002
05,	15,	2003
05,	20,	2004
05,	19,	2005
05,	18,	2006
05,	17,	2007
05,	15,	2008
05,	21,	2009
05,	20,	2010
05,	19,	2011
05,	17,	2012
05,	16,	2013
05,	15,	2014
05,	21,	2015
05,	19,	2016
05,	18,	2017
